Run,Angle,Detector,Ep,Q int,Yield,Yield effcor,Yield err,Yield err effcor
962,120,0,3196.5,58233.0,0.00908326,4.824344338903524e-10,0.0005410559999999999,2.8736824120742825e-11
962,105,1,3196.5,58233.0,0.00859688,4.841695712400323e-10,0.000481643,2.712575780989881e-11
962,90,2,3196.5,58233.0,0.0032584000000000003,3.112140516883338e-10,0.000322801,3.083114629850412e-11
962,45,3,3196.5,58233.0,0.00758399,4.338201453532584e-10,0.00046768300000000004,2.6752449177708303e-11
962,30,4,3196.5,58233.0,0.00805023,4.453418294361517e-10,0.0005368759999999999,2.970018745059003e-11
962,15,5,3196.5,58233.0,0.00690483,3.673281335711785e-10,0.00045972300000000004,2.4456676203431933e-11
962,0,6,3196.5,58233.0,0.00830919,4.580997446706803e-10,0.000509535,2.8091529186452007e-11
962,-15,7,3196.5,58233.0,0.00796421,4.3479520290601444e-10,0.000680956,3.717586580339645e-11
962,-30,8,3196.5,58233.0,0.00775232,4.2409549847455113e-10,0.00047913800000000005,2.6211542989466312e-11
962,-45,9,3196.5,58233.0,0.00821115,4.5470408024249174e-10,0.000466879,2.5854086976797927e-11
962,-90,10,3196.5,58233.0,0.00340847,3.029254679877612e-10,0.00043824699999999995,3.894890598105085e-11
962,-105,11,3196.5,58233.0,0.0063582000000000005,3.6701754343134954e-10,0.000490869,2.8334675619924366e-11
962,-120,12,3196.5,58233.0,0.00830176,4.5395939732083005e-10,0.000532615,2.9124617479189214e-11
963,120,0,3195.4,61848.0,0.0103211,5.481791818824647e-10,0.000586312,3.1140482360201105e-11
963,105,1,3195.4,61848.0,0.00799036,4.5001083826382415e-10,0.00045868199999999997,2.583261221228172e-11
963,90,2,3195.4,61848.0,0.00353076,3.3722751201175464e-10,0.00028381,2.710706482005463e-11
963,45,3,3195.4,61848.0,0.00870609,4.980066204278421e-10,0.00048480400000000003,2.7731806311432518e-11
963,30,4,3195.4,61848.0,0.00931372,5.152385836996053e-10,0.000629558,3.4827391447966676e-11
963,15,5,3195.4,61848.0,0.00729251,3.879522142252822e-10,0.000472143,2.5117404334168537e-11
963,0,6,3195.4,61848.0,0.00857525,4.727680839512939e-10,0.000504374,2.7806994498685163e-11
963,-15,7,3195.4,61848.0,0.00685633,3.7431200251382053e-10,0.000570516,3.11465443504287e-11
963,-30,8,3195.4,61848.0,0.00831202,4.547142358971815e-10,0.000458672,2.5091937700755295e-11
963,-45,9,3195.4,61848.0,0.00868792,4.811058953764514e-10,0.000450894,2.496889492420161e-11
963,-90,10,3195.4,61848.0,0.004631199999999999,4.115947704820402e-10,0.000445804,3.96205292494333e-11
963,-105,11,3195.4,61848.0,0.00687849,3.9705050207874923e-10,0.000487688,2.8151057173562956e-11
963,-120,12,3195.4,61848.0,0.00953096,5.211748903231288e-10,0.000617516,3.376720011129805e-11
964,120,0,3194.4,49785.0,0.0108435,5.759251396403975e-10,0.000642502,3.412487241842898e-11
964,105,1,3194.4,49785.0,0.00767777,4.3240601345832243e-10,0.000568164,3.199855299527523e-11
964,90,2,3194.4,49785.0,0.00452713,4.323921157070361e-10,0.000491541,4.69477247056639e-11
964,45,3,3194.4,49785.0,0.00695586,3.978897910277989e-10,0.000529475,3.028708126736935e-11
964,30,4,3194.4,49785.0,0.00949404,5.252139556683475e-10,0.000587132,3.2480368759713274e-11
964,15,5,3194.4,49785.0,0.00930214,4.948619624839139e-10,0.000594858,3.164568553894652e-11
964,0,6,3194.4,49785.0,0.00894581,4.931976855592927e-10,0.000534349,2.945956711364566e-11
964,-15,7,3194.4,49785.0,0.00881065,4.810054424084594e-10,0.000612086,3.3416001909283004e-11
964,-30,8,3194.4,49785.0,0.00968898,5.300416911079465e-10,0.000640857,3.505848170172353e-11
964,-45,9,3194.4,49785.0,0.00884007,4.895314174785802e-10,0.0005314790000000001,2.9431403623511844e-11
964,-90,10,3194.4,49785.0,0.00410861,3.6514993737049056e-10,0.00041807,3.7155688740591336e-11
964,-105,11,3194.4,49785.0,0.00579716,3.3463235225039825e-10,0.000576364,3.326974606056216e-11
964,-120,12,3194.4,49785.0,0.00871435,4.765207707814698e-10,0.000635895,3.4772206250160116e-11
965,120,0,3193.4,67811.0,0.00992788,5.272942938472918e-10,0.000499868,2.6549227435953904e-11
965,105,1,3193.4,67811.0,0.00998636,5.624240002708667e-10,0.00048206400000000004,2.7149468201284067e-11
965,90,2,3193.4,67811.0,0.00447301,4.272230436233838e-10,0.00033484199999999996,3.1981197979199925e-11
965,45,3,3193.4,67811.0,0.00925079,5.291646036495921e-10,0.00046698199999999995,2.671235050644256e-11
